,Cleaned_name,Item_desp,Service_desp,pay_num,order_num
37,All wcg departments,--Non-PPE Covid 19 related spend items--,Gowns Disposable,0,3783.5
38,All wcg departments,--Non-PPE Covid 19 related spend items--,Other - Ppe,424020,48450.0
39,All wcg departments,0,0,4197880,1058809.99
40,All wcg departments,0,Straight Desk 1400mm,0,12470.0
41,All wcg departments,ACJ PHAKADE PS,0,4637,0.0
42,All wcg departments,"APR. COVID FD,FRSH&OP-PSFA-C1",0,241236,0.0
43,All wcg departments,"APR. COVID FD,FRSH&OP-PSFA-C2",0,314248,0.0
44,All wcg departments,"APR. COVID FD,FRSH&OP-PSFA-E1",0,388788,0.0
45,All wcg departments,"APR. COVID FD,FRSH&OP-PSFA-E2",0,705803,0.0
46,All wcg departments,"APR. COVID FD,FRSH&OP-PSFA-N1",0,180135,0.0
47,All wcg departments,"APR. COVID FD,FRSH&OP-PSFA-N2",0,252721,0.0
48,All wcg departments,"APR. COVID FD,FRSH&OP-PSFA-S1",0,140236,0.0
49,All wcg departments,"APR. COVID FD,FRSH&OP-PSFA-S2",0,185949,0.0
50,All wcg departments,"APR.2 COVID FOOD,FRSH&OP-BOLD-D4",0,255083,0.0
51,All wcg departments,"APR.2 COVID FOOD,FRSH&OP-BOLD-D5",0,289305,0.0
52,All wcg departments,APR.6 COVID FD&FRSH-BOLDW-WC2,0,201828,0.0
53,All wcg departments,"APR.6 COVID FD,FRSH&OPS-BOLD-WC3",0,37367,0.0
54,All wcg departments,"APR.6 COVID FD,FRSH&OPS-BOLDW-O1",0,282871,0.0
55,All wcg departments,"APR.6 COVID FD,FRSH&OPS-BOLDW-O2",0,122344,0.0
56,All wcg departments,APR.NO.2 COVID FOOD&FRSH-BOLD-D1,0,262354,0.0
57,All wcg departments,APR.NO.2 COVID FOOD&FRSH-BOLD-D2,0,198887,0.0
58,All wcg departments,APR.NO.2 COVID FOOD&FRSH-BOLD-D3,0,249607,0.0
59,All wcg departments,APR.NO.5 COVID FRESH-MOKGATS-CW2,0,6485,0.0
